dofst_k_oxygen_l2-dbar,count,mean,std,min,25%,50%,75%,max
"(94, 95]",9767.000000, 199.831783,  29.680117, 144.385821, 171.540034, 197.546106, 225.875332, 279.357590
"(95, 96]",9503.000000, 198.926479,  29.408442, 144.172029, 171.486957, 196.386236, 224.788278, 278.276731
"(96, 97]",10102.000000, 197.737465,  29.711709, 144.261990, 170.423688, 194.682405, 224.660071, 277.325678
"(97, 98]",9637.000000, 196.588880,  29.391888, 144.018053, 169.425471, 192.244762, 222.490398, 277.178414
"(98, 99]",9481.000000, 195.352104,  29.513502, 143.364824, 168.304476, 190.830764, 221.460111, 276.612619
"(99, 100]",9632.000000, 194.591514,  29.720890, 143.037828, 167.602551, 189.616478, 220.617408, 276.346449
"(100, 101]",9663.000000, 193.239388,  29.589806, 142.971745, 166.884576, 187.523117, 219.022621, 275.610642
"(101, 102]",9779.000000, 191.871637,  29.526006, 142.954723, 165.878802, 185.153447, 218.041951, 275.485453
"(102, 103]",10103.000000, 190.121485,  29.425566, 143.054433, 163.795603, 183.050271, 216.476512, 275.075849
"(103, 104]",10469.000000, 187.204665,  29.225955, 143.081399, 162.151762, 177.577724, 212.445146, 274.905290
"(104, 105]",12031.000000, 184.636979,  28.518464, 142.998998, 161.079184, 172.823614, 209.136173, 273.353371
"(105, 106]",13946.000000, 181.145421,  28.556131, 143.229076, 158.171556, 169.157307, 200.576903, 273.019252
"(106, 107]",17968.000000, 176.011558,  27.213659, 143.159263, 156.279894, 164.524012, 187.099054, 272.481392
"(107, 108]",24406.000000, 173.971350,  26.025282, 142.984223, 156.796821, 162.846545, 180.451541, 271.366610
"(108, 109]",26770.000000, 175.832904,  24.577853, 136.579144, 158.419041, 166.018002, 186.497992, 270.337229
"(109, 110]",30524.000000, 176.722582,  23.855293, 141.475455, 159.658961, 168.533676, 186.631826, 268.760464
"(110, 111]",28698.000000, 180.654941,  25.041040, 141.059238, 161.883771, 172.538635, 192.747859, 266.646186
"(111, 112]",23318.000000, 182.523954,  27.141934, 140.900253, 160.393019, 172.477288, 198.587248, 265.096726
"(112, 113]",20340.000000, 193.720642,  29.818357, 140.469249, 164.716981, 188.933133, 223.042644, 263.456100
"(113, 114]",23510.000000, 199.742224,  31.014862, 139.352100, 167.958995, 206.035028, 228.589445, 262.583402
"(114, 115]",153729.000000, 181.781189,  29.028317, 139.200970, 156.946081, 169.415560, 207.908409, 261.183364
