dbar,parameter,count,mean,std,min,25%,50%,75%,max
"(58, 59]",density,10108.000000,1026.322829,   0.467426,1025.225286,1025.929249,1026.470599,1026.702319,1027.067276
"(59, 60]",density,9929.000000,1026.324807,   0.466661,1025.244063,1025.929782,1026.477332,1026.703559,1027.068752
"(60, 61]",density,9889.000000,1026.339819,   0.464389,1025.244886,1025.945185,1026.490517,1026.719136,1027.073042
"(61, 62]",density,9978.000000,1026.353335,   0.465102,1025.248202,1025.957876,1026.507955,1026.735601,1027.087502
"(62, 63]",density,9991.000000,1026.368091,   0.463011,1025.289916,1025.975315,1026.523620,1026.749099,1027.086198
"(63, 64]",density,9973.000000,1026.379912,   0.462184,1025.299912,1025.985507,1026.537640,1026.763799,1027.088641
"(64, 65]",density,9953.000000,1026.390524,   0.459639,1025.313077,1025.994575,1026.549934,1026.772030,1027.094158
"(65, 66]",density,9893.000000,1026.406041,   0.456604,1025.332023,1026.008393,1026.568020,1026.782893,1027.097571
"(66, 67]",density,9925.000000,1026.416903,   0.454499,1025.334137,1026.020654,1026.579911,1026.790990,1027.101782
"(67, 68]",density,9998.000000,1026.433139,   0.453115,1025.283701,1026.032949,1026.599322,1026.806798,1027.106510
"(68, 69]",density,10050.000000,1026.445907,   0.449910,1025.265742,1026.043058,1026.613665,1026.819090,1027.111294
"(69, 70]",density,10237.000000,1026.466252,   0.443128,1025.335553,1026.064440,1026.631381,1026.838742,1027.117325
"(70, 71]",density,9847.000000,1026.469340,   0.443851,1025.361621,1026.066273,1026.636323,1026.839393,1027.122048
"(71, 72]",density,9812.000000,1026.481484,   0.440073,1025.363353,1026.081770,1026.647990,1026.848971,1027.128571
"(72, 73]",density,9726.000000,1026.497813,   0.433443,1025.367262,1026.107901,1026.663276,1026.860822,1027.130422
"(73, 74]",density,9922.000000,1026.519499,   0.430059,1025.382608,1026.144716,1026.682727,1026.880324,1027.143146
"(74, 75]",density,9852.000000,1026.529942,   0.423804,1025.385486,1026.160430,1026.691526,1026.886185,1027.140200
"(75, 76]",density,9808.000000,1026.545340,   0.416660,1025.390099,1026.192163,1026.703417,1026.893084,1027.161064
"(76, 77]",density,9848.000000,1026.561963,   0.410900,1025.394090,1026.229710,1026.715657,1026.904820,1027.149352
"(77, 78]",density,9794.000000,1026.578071,   0.402894,1025.396495,1026.264781,1026.731979,1026.908364,1027.157540
"(78, 79]",density,9813.000000,1026.593762,   0.396253,1025.400164,1026.291757,1026.743359,1026.923269,1027.178461
"(79, 80]",density,9822.000000,1026.610189,   0.389019,1025.400649,1026.321837,1026.757060,1026.932734,1027.173030
"(80, 81]",density,9789.000000,1026.627504,   0.382882,1025.408728,1026.350427,1026.772236,1026.942791,1027.197097
"(81, 82]",density,9772.000000,1026.640062,   0.374779,1025.432588,1026.367912,1026.782387,1026.947036,1027.220007
"(82, 83]",density,9738.000000,1026.655680,   0.365592,1025.443090,1026.390022,1026.792318,1026.953740,1027.183093
"(83, 84]",density,9681.000000,1026.673202,   0.358690,1025.451822,1026.411985,1026.809501,1026.967158,1027.187340
"(84, 85]",density,9629.000000,1026.684184,   0.351680,1025.458656,1026.427500,1026.814494,1026.972771,1027.192865
"(85, 86]",density,9585.000000,1026.702850,   0.342376,1025.477912,1026.456057,1026.827471,1026.980865,1027.195858
"(86, 87]",density,9601.000000,1026.720505,   0.333199,1025.540779,1026.479158,1026.842668,1026.990050,1027.201251
"(87, 88]",density,9690.000000,1026.737322,   0.325087,1025.574288,1026.502715,1026.855406,1026.999197,1027.205805
"(88, 89]",density,9930.000000,1026.758100,   0.315609,1025.579854,1026.542663,1026.874968,1027.011025,1027.257488
"(89, 90]",density,9643.000000,1026.772096,   0.308442,1025.582886,1026.556789,1026.883302,1027.021732,1027.214913
"(90, 91]",density,9586.000000,1026.786244,   0.302321,1025.589634,1026.580590,1026.893819,1027.028335,1027.220086
"(91, 92]",density,9495.000000,1026.803149,   0.292607,1025.596147,1026.605054,1026.905533,1027.035732,1027.226656
"(92, 93]",density,9778.000000,1026.823498,   0.284404,1025.605859,1026.639643,1026.927618,1027.043407,1027.243111
"(93, 94]",density,9733.000000,1026.838640,   0.277242,1025.717475,1026.664985,1026.936353,1027.054266,1027.249681
"(94, 95]",density,9767.000000,1026.853289,   0.268077,1025.783112,1026.688283,1026.941732,1027.061010,1027.256951
"(95, 96]",density,9503.000000,1026.865401,   0.264141,1025.794511,1026.700049,1026.953077,1027.070507,1027.264116
"(96, 97]",density,10102.000000,1026.883898,   0.254803,1025.870802,1026.729253,1026.974539,1027.076651,1027.271996
"(97, 98]",density,9637.000000,1026.895850,   0.247425,1025.927960,1026.752294,1026.975241,1027.084945,1027.275016
"(98, 99]",density,9481.000000,1026.910879,   0.240910,1025.970815,1026.772246,1026.987861,1027.094118,1027.282432
"(99, 100]",density,9632.000000,1026.928522,   0.232283,1026.002612,1026.794722,1027.001393,1027.103992,1027.287849
"(100, 101]",density,9663.000000,1026.943457,   0.223513,1026.041692,1026.817177,1027.009639,1027.109650,1027.332832
"(101, 102]",density,9779.000000,1026.959738,   0.215004,1026.054471,1026.835712,1027.028164,1027.115977,1027.297456
"(102, 103]",density,10103.000000,1026.973435,   0.209539,1026.095420,1026.850045,1027.040708,1027.126207,1027.302904
"(103, 104]",density,10469.000000,1026.983381,   0.199262,1026.113009,1026.866285,1027.033905,1027.132518,1027.307691
"(104, 105]",density,12031.000000,1026.984026,   0.195488,1026.123262,1026.854550,1027.028009,1027.134080,1027.318692
"(105, 106]",density,13946.000000,1026.997163,   0.181069,1026.140165,1026.889767,1027.033201,1027.133697,1027.341527
"(106, 107]",density,17968.000000,1026.992382,   0.171940,1026.170444,1026.890844,1027.002517,1027.130346,1027.368946
"(107, 108]",density,24406.000000,1027.005113,   0.170498,1026.185108,1026.887784,1027.030946,1027.147293,1027.402902
"(108, 109]",density,26770.000000,1027.010348,   0.173318,1026.197701,1026.896767,1027.039605,1027.150736,1027.416809
"(109, 110]",density,30524.000000,1027.037120,   0.175235,1026.229040,1026.925378,1027.090338,1027.167259,1027.430134
"(110, 111]",density,28698.000000,1027.081605,   0.153280,1026.234896,1027.013140,1027.135194,1027.190555,1027.449618
"(111, 112]",density,23318.000000,1027.090616,   0.156825,1025.909525,1027.043641,1027.136085,1027.190175,1027.459921
"(112, 113]",density,20340.000000,1027.150918,   0.112747,1026.284556,1027.114094,1027.174492,1027.211440,1027.482344
"(113, 114]",density,23510.000000,1027.173289,   0.114458,1026.330634,1027.131282,1027.179957,1027.231409,1027.491425
"(114, 115]",density,153729.000000,1027.154220,   0.131483,1025.903598,1027.095754,1027.178743,1027.228947,1027.517386
"(24, 25]",practical_salinity,59595.000000,  33.708124,   0.523183,  32.842076,  33.317357,  33.616371,  33.970069,  35.451989
"(25, 26]",practical_salinity,274336.000000,  33.802971,   0.585086,  32.845086,  33.362403,  33.684307,  34.102669,  35.463318
"(26, 27]",practical_salinity,63323.000000,  33.870515,   0.562967,  32.847416,  33.460263,  33.719943,  34.240876,  35.471124
"(27, 28]",practical_salinity,25506.000000,  33.983105,   0.588257,  32.851358,  33.523194,  33.866061,  34.431732,  35.471648
"(28, 29]",practical_salinity,18168.000000,  33.908664,   0.574911,  32.850636,  33.456127,  33.823676,  34.274989,  35.473298
"(29, 30]",practical_salinity,15371.000000,  33.880822,   0.551720,  32.858216,  33.460291,  33.778652,  34.221947,  35.480297
"(30, 31]",practical_salinity,12428.000000,  33.909988,   0.565879,  32.863742,  33.468993,  33.849595,  34.249834,  35.482236
"(31, 32]",practical_salinity,11149.000000,  33.879590,   0.573507,  32.864116,  33.460151,  33.744829,  34.210018,  35.484432
"(32, 33]",practical_salinity,10561.000000,  33.880540,   0.572967,  32.863695,  33.460560,  33.750416,  34.206030,  35.488619
"(33, 34]",practical_salinity,10631.000000,  33.888220,   0.568950,  32.864149,  33.466945,  33.770376,  34.206968,  35.489501
"(34, 35]",practical_salinity,10326.000000,  33.911693,   0.576171,  32.896757,  33.478190,  33.792599,  34.266069,  35.485206
"(35, 36]",practical_salinity,10361.000000,  33.930594,   0.581358,  32.914517,  33.489085,  33.820136,  34.287988,  35.485163
"(36, 37]",practical_salinity,10442.000000,  33.948298,   0.579845,  32.915756,  33.504310,  33.843312,  34.315451,  35.483894
"(37, 38]",practical_salinity,10278.000000,  33.957846,   0.576241,  32.917537,  33.514283,  33.859606,  34.325271,  35.494397
"(38, 39]",practical_salinity,10282.000000,  33.969259,   0.572065,  32.917645,  33.523420,  33.879583,  34.336393,  35.477155
"(39, 40]",practical_salinity,10281.000000,  33.990041,   0.569488,  32.918046,  33.548582,  33.905535,  34.356134,  35.476143
"(40, 41]",practical_salinity,10124.000000,  33.999529,   0.566229,  32.918633,  33.557532,  33.918478,  34.375900,  35.479451
"(41, 42]",practical_salinity,10120.000000,  34.016872,   0.563288,  32.917915,  33.573632,  33.938103,  34.386601,  35.476807
"(42, 43]",practical_salinity,10114.000000,  34.036501,   0.559427,  32.918423,  33.603523,  33.961683,  34.414916,  35.479659
"(43, 44]",practical_salinity,10151.000000,  34.057250,   0.558258,  32.917907,  33.625659,  33.988254,  34.434597,  35.484878
"(44, 45]",practical_salinity,10169.000000,  34.080414,   0.554757,  32.918347,  33.659704,  34.006327,  34.463883,  35.484991
"(45, 46]",practical_salinity,10107.000000,  34.096471,   0.551318,  32.918922,  33.679923,  34.019403,  34.475170,  35.486567
"(46, 47]",practical_salinity,10060.000000,  34.114348,   0.545332,  32.918594,  33.700264,  34.044659,  34.487833,  35.484863
"(47, 48]",practical_salinity,10189.000000,  34.140689,   0.541298,  32.918627,  33.726965,  34.072825,  34.523851,  35.478999
"(48, 49]",practical_salinity,10103.000000,  34.156669,   0.535874,  32.918606,  33.749728,  34.094125,  34.533662,  35.476975
"(49, 50]",practical_salinity,10056.000000,  34.172551,   0.531436,  32.919448,  33.768560,  34.114361,  34.538452,  35.482945
"(50, 51]",practical_salinity,10094.000000,  34.197344,   0.527329,  32.918660,  33.796159,  34.146442,  34.565204,  35.553005
"(51, 52]",practical_salinity,10127.000000,  34.220687,   0.523735,  32.919591,  33.825439,  34.180744,  34.590189,  35.557438
"(52, 53]",practical_salinity,10067.000000,  34.240144,   0.520020,  32.919729,  33.854707,  34.203434,  34.607209,  35.581354
"(53, 54]",practical_salinity,10038.000000,  34.260686,   0.513619,  32.922909,  33.880310,  34.233783,  34.617323,  35.597723
"(54, 55]",practical_salinity,10064.000000,  34.286125,   0.508205,  32.925686,  33.906200,  34.268418,  34.640567,  35.623741
"(55, 56]",practical_salinity,10123.000000,  34.310043,   0.505680,  32.928373,  33.941400,  34.298166,  34.675607,  35.653177
"(56, 57]",practical_salinity,10075.000000,  34.328726,   0.498643,  32.929402,  33.969431,  34.321018,  34.684864,  35.631517
"(57, 58]",practical_salinity,10034.000000,  34.354555,   0.492928,  32.936502,  33.999900,  34.354784,  34.706359,  35.640523
"(58, 59]",practical_salinity,10108.000000,  34.380602,   0.487887,  32.954120,  34.023944,  34.385574,  34.725070,  35.641767
"(59, 60]",practical_salinity,9929.000000,  34.395145,   0.481406,  33.004710,  34.044556,  34.397949,  34.729795,  35.645487
"(60, 61]",practical_salinity,9889.000000,  34.416700,   0.475865,  33.022475,  34.070131,  34.427188,  34.744257,  35.653569
"(61, 62]",practical_salinity,9978.000000,  34.441581,   0.469555,  33.058728,  34.106874,  34.454665,  34.765396,  35.655732
"(62, 63]",practical_salinity,9991.000000,  34.461720,   0.465016,  33.128329,  34.127451,  34.474973,  34.786948,  35.658247
"(63, 64]",practical_salinity,9973.000000,  34.485630,   0.458859,  33.140413,  34.157330,  34.505235,  34.803202,  35.661129
"(64, 65]",practical_salinity,9953.000000,  34.501901,   0.455281,  33.171192,  34.173147,  34.522948,  34.818027,  35.664916
"(65, 66]",practical_salinity,9893.000000,  34.524544,   0.450375,  33.182696,  34.206863,  34.549517,  34.837367,  35.679652
"(66, 67]",practical_salinity,9925.000000,  34.545443,   0.444372,  33.203073,  34.239079,  34.569467,  34.850347,  35.727212
"(67, 68]",practical_salinity,9998.000000,  34.567798,   0.435618,  33.218074,  34.275625,  34.588507,  34.863215,  35.733575
"(68, 69]",practical_salinity,10050.000000,  34.587395,   0.432164,  33.232732,  34.308906,  34.616414,  34.883021,  35.756758
"(69, 70]",practical_salinity,10237.000000,  34.603199,   0.426785,  33.284256,  34.329581,  34.635126,  34.897207,  35.755764
"(70, 71]",practical_salinity,9847.000000,  34.632971,   0.424041,  33.308365,  34.359704,  34.666237,  34.924370,  35.756203
"(71, 72]",practical_salinity,9812.000000,  34.654051,   0.419381,  33.303147,  34.386894,  34.689650,  34.940338,  35.748771
"(72, 73]",practical_salinity,9726.000000,  34.675614,   0.414083,  33.302328,  34.410865,  34.711288,  34.961530,  35.736531
"(73, 74]",practical_salinity,9922.000000,  34.701557,   0.409688,  33.306865,  34.445829,  34.746023,  34.991460,  35.721805
"(74, 75]",practical_salinity,9852.000000,  34.717936,   0.401450,  33.308424,  34.471338,  34.763595,  34.995653,  35.713641
"(75, 76]",practical_salinity,9808.000000,  34.740388,   0.400829,  33.323017,  34.501443,  34.784984,  35.020701,  35.713296
"(76, 77]",practical_salinity,9848.000000,  34.765767,   0.400282,  33.332151,  34.526626,  34.810154,  35.054352,  35.733641
"(77, 78]",practical_salinity,9794.000000,  34.782873,   0.390232,  33.333781,  34.556713,  34.833884,  35.059890,  35.724773
"(78, 79]",practical_salinity,9813.000000,  34.803056,   0.387071,  33.338315,  34.579233,  34.856848,  35.081130,  35.719832
"(79, 80]",practical_salinity,9822.000000,  34.825203,   0.382280,  33.343443,  34.605958,  34.880837,  35.095603,  35.720768
"(80, 81]",practical_salinity,9789.000000,  34.844693,   0.378418,  33.346250,  34.630767,  34.900352,  35.113170,  35.730439
"(81, 82]",practical_salinity,9772.000000,  34.862571,   0.376385,  33.349928,  34.654819,  34.914424,  35.130298,  35.788370
"(82, 83]",practical_salinity,9738.000000,  34.884228,   0.372968,  33.364329,  34.674436,  34.931768,  35.147465,  35.800275
"(83, 84]",practical_salinity,9681.000000,  34.904007,   0.369212,  33.367887,  34.708022,  34.953599,  35.166437,  35.764671
"(84, 85]",practical_salinity,9629.000000,  34.928308,   0.366947,  33.385334,  34.733433,  34.978225,  35.184774,  35.768342
"(85, 86]",practical_salinity,9585.000000,  34.947206,   0.365579,  33.415910,  34.749814,  34.997101,  35.201118,  35.770607
"(86, 87]",practical_salinity,9601.000000,  34.970551,   0.361341,  33.438650,  34.776878,  35.019866,  35.216173,  35.788482
"(87, 88]",practical_salinity,9690.000000,  34.990542,   0.355382,  33.463229,  34.804970,  35.037196,  35.230726,  35.792287
"(88, 89]",practical_salinity,9930.000000,  35.009118,   0.349419,  33.478888,  34.829481,  35.051349,  35.240691,  35.829975
"(89, 90]",practical_salinity,9643.000000,  35.034193,   0.350291,  33.500074,  34.856318,  35.079545,  35.264480,  35.823050
"(90, 91]",practical_salinity,9586.000000,  35.053275,   0.345483,  33.513955,  34.876993,  35.100243,  35.280453,  35.835573
"(91, 92]",practical_salinity,9495.000000,  35.074911,   0.341788,  33.516657,  34.901886,  35.122283,  35.299350,  35.841596
"(92, 93]",practical_salinity,9778.000000,  35.091984,   0.334980,  33.509830,  34.918811,  35.132841,  35.311382,  35.849380
"(93, 94]",practical_salinity,9733.000000,  35.107739,   0.331870,  33.515643,  34.935093,  35.149002,  35.325834,  35.872328
"(94, 95]",practical_salinity,9767.000000,  35.137328,   0.327544,  33.532122,  34.960761,  35.180169,  35.349617,  35.886726
"(95, 96]",practical_salinity,9503.000000,  35.150580,   0.320841,  33.529132,  34.980457,  35.193243,  35.355988,  35.890112
"(96, 97]",practical_salinity,10102.000000,  35.164394,   0.318800,  33.578442,  34.993371,  35.199969,  35.371189,  35.890310
"(97, 98]",practical_salinity,9637.000000,  35.186321,   0.308966,  33.588877,  35.022619,  35.220846,  35.386564,  35.887254
"(98, 99]",practical_salinity,9481.000000,  35.204213,   0.305596,  33.603961,  35.038561,  35.235522,  35.405650,  35.884650
"(99, 100]",practical_salinity,9632.000000,  35.220015,   0.298589,  33.619311,  35.061042,  35.247623,  35.416597,  35.889768
"(100, 101]",practical_salinity,9663.000000,  35.237856,   0.291955,  33.634436,  35.073294,  35.264772,  35.428843,  35.893388
"(101, 102]",practical_salinity,9779.000000,  35.248357,   0.289297,  33.634757,  35.083287,  35.271856,  35.441131,  35.896102
"(102, 103]",practical_salinity,10103.000000,  35.280649,   0.281234,  33.639295,  35.126980,  35.301154,  35.470303,  35.893150
"(103, 104]",practical_salinity,10469.000000,  35.302239,   0.276794,  33.648957,  35.153001,  35.320091,  35.488258,  35.885718
"(104, 105]",practical_salinity,12031.000000,  35.322330,   0.273630,  33.701414,  35.161202,  35.348099,  35.504989,  35.887644
"(105, 106]",practical_salinity,13946.000000,  35.362514,   0.276333,  33.793438,  35.206286,  35.392585,  35.541931,  35.888469
"(106, 107]",practical_salinity,17968.000000,  35.413417,   0.265123,  33.809181,  35.256868,  35.441015,  35.595482,  35.872486
"(107, 108]",practical_salinity,24406.000000,  35.420295,   0.237854,  33.843455,  35.284040,  35.448240,  35.571999,  35.871806
"(108, 109]",practical_salinity,26770.000000,  35.404100,   0.228411,  33.862080,  35.266092,  35.422699,  35.565649,  35.867451
"(109, 110]",practical_salinity,30524.000000,  35.385497,   0.207804,  33.899296,  35.257138,  35.395838,  35.535271,  35.877336
"(110, 111]",practical_salinity,28698.000000,  35.339241,   0.219998,  33.940712,  35.208072,  35.336775,  35.485215,  35.883334
"(111, 112]",practical_salinity,23318.000000,  35.356148,   0.220031,  33.973193,  35.200863,  35.364516,  35.504923,  35.885206
"(112, 113]",practical_salinity,20340.000000,  35.308159,   0.214239,  34.000436,  35.156990,  35.324189,  35.451755,  35.883193
"(113, 114]",practical_salinity,23510.000000,  35.298681,   0.262842,  33.999098,  35.148924,  35.324774,  35.499697,  35.874387
"(114, 115]",practical_salinity,153729.000000,  35.407860,   0.218599,  34.061743,  35.284453,  35.416565,  35.566707,  35.861566
"(24, 25]",ctdpf_ckl_seawater_temperature,59595.000000,  10.357941,   3.145719,   6.231100,   7.655700,   9.912400,  12.729100,  19.745200
"(25, 26]",ctdpf_ckl_seawater_temperature,274336.000000,  10.872710,   3.621610,   6.213400,   7.724600,   9.943600,  13.125900,  19.748800
"(26, 27]",ctdpf_ckl_seawater_temperature,63323.000000,  10.143931,   3.001969,   6.376000,   7.662800,   9.496200,  11.786900,  19.741900
"(27, 28]",ctdpf_ckl_seawater_temperature,25506.000000,  10.101340,   2.813548,   6.384300,   7.595325,   9.880150,  11.643200,  19.738400
"(28, 29]",ctdpf_ckl_seawater_temperature,18168.000000,   9.999636,   2.972361,   6.387200,   7.590050,   9.263350,  11.714750,  19.735900
"(29, 30]",ctdpf_ckl_seawater_temperature,15371.000000,  10.008553,   3.078447,   6.400300,   7.571650,   9.241900,  11.652000,  19.733400
"(30, 31]",ctdpf_ckl_seawater_temperature,12428.000000,  10.451171,   3.178623,   6.438500,   7.860450,   9.549000,  12.555925,  19.733300
"(31, 32]",ctdpf_ckl_seawater_temperature,11149.000000,  10.554985,   3.301729,   6.442400,   7.789100,   9.781500,  12.748300,  19.733300
"(32, 33]",ctdpf_ckl_seawater_temperature,10561.000000,  10.643758,   3.352467,   6.444000,   7.779200,   9.940300,  12.816100,  19.734400
"(33, 34]",ctdpf_ckl_seawater_temperature,10631.000000,  10.673809,   3.353800,   6.445400,   7.845850,   9.938300,  12.833050,  19.736800
"(34, 35]",ctdpf_ckl_seawater_temperature,10326.000000,  10.777257,   3.345089,   6.447000,   7.940175,  10.091850,  12.876250,  19.738900
"(35, 36]",ctdpf_ckl_seawater_temperature,10361.000000,  10.835809,   3.354700,   6.449000,   7.981600,  10.157000,  12.889400,  19.738700
"(36, 37]",ctdpf_ckl_seawater_temperature,10442.000000,  10.882939,   3.330939,   6.449400,   8.035650,  10.215500,  12.902950,  19.739000
"(37, 38]",ctdpf_ckl_seawater_temperature,10278.000000,  10.901883,   3.322536,   6.450800,   8.080650,  10.211750,  12.909175,  19.739100
"(38, 39]",ctdpf_ckl_seawater_temperature,10282.000000,  10.945252,   3.328456,   6.446100,   8.156350,  10.253850,  12.939000,  19.738600
"(39, 40]",ctdpf_ckl_seawater_temperature,10281.000000,  11.022900,   3.325772,   6.453400,   8.220900,  10.352200,  12.990700,  19.703700
"(40, 41]",ctdpf_ckl_seawater_temperature,10124.000000,  11.036921,   3.313287,   6.458900,   8.244875,  10.342350,  13.008000,  19.711000
"(41, 42]",ctdpf_ckl_seawater_temperature,10120.000000,  11.105787,   3.332254,   6.465100,   8.287375,  10.401250,  13.084025,  19.741800
"(42, 43]",ctdpf_ckl_seawater_temperature,10114.000000,  11.159014,   3.296623,   6.482300,   8.365400,  10.446450,  13.122675,  19.752800
"(43, 44]",ctdpf_ckl_seawater_temperature,10151.000000,  11.192953,   3.285684,   6.469900,   8.433950,  10.493800,  13.100900,  19.758400
"(44, 45]",ctdpf_ckl_seawater_temperature,10169.000000,  11.265694,   3.275016,   6.469400,   8.548900,  10.564000,  13.135000,  19.775200
"(45, 46]",ctdpf_ckl_seawater_temperature,10107.000000,  11.303811,   3.255668,   6.469400,   8.620650,  10.593200,  13.152300,  19.776000
"(46, 47]",ctdpf_ckl_seawater_temperature,10060.000000,  11.369655,   3.247554,   6.480400,   8.731475,  10.649300,  13.231500,  19.776800
"(47, 48]",ctdpf_ckl_seawater_temperature,10189.000000,  11.416142,   3.216668,   6.487700,   8.862700,  10.712000,  13.231700,  19.777600
"(48, 49]",ctdpf_ckl_seawater_temperature,10103.000000,  11.459066,   3.201111,   6.486600,   8.965550,  10.741400,  13.265000,  19.778300
"(49, 50]",ctdpf_ckl_seawater_temperature,10056.000000,  11.520879,   3.199434,   6.492500,   9.046275,  10.766300,  13.329425,  19.778700
"(50, 51]",ctdpf_ckl_seawater_temperature,10094.000000,  11.585710,   3.175745,   6.495400,   9.168975,  10.847450,  13.361850,  19.778000
"(51, 52]",ctdpf_ckl_seawater_temperature,10127.000000,  11.644932,   3.150954,   6.506800,   9.278600,  10.940700,  13.392200,  19.775700
"(52, 53]",ctdpf_ckl_seawater_temperature,10067.000000,  11.696304,   3.139435,   6.513800,   9.331700,  10.985100,  13.453200,  19.774600
"(53, 54]",ctdpf_ckl_seawater_temperature,10038.000000,  11.748377,   3.118853,   6.519600,   9.433375,  11.066650,  13.500500,  19.764700
"(54, 55]",ctdpf_ckl_seawater_temperature,10064.000000,  11.801877,   3.092429,   6.518000,   9.527525,  11.132300,  13.523325,  19.753900
"(55, 56]",ctdpf_ckl_seawater_temperature,10123.000000,  11.863107,   3.081586,   6.517900,   9.600800,  11.175900,  13.591050,  19.753100
"(56, 57]",ctdpf_ckl_seawater_temperature,10075.000000,  11.910146,   3.046405,   6.525300,   9.711950,  11.220000,  13.613150,  19.740900
"(57, 58]",ctdpf_ckl_seawater_temperature,10034.000000,  11.978767,   3.030882,   6.545300,   9.792000,  11.304200,  13.781750,  19.762700
"(58, 59]",ctdpf_ckl_seawater_temperature,10108.000000,  12.033847,   3.007755,   6.548700,   9.871450,  11.379700,  13.809100,  19.776300
"(59, 60]",ctdpf_ckl_seawater_temperature,9929.000000,  12.107297,   3.000905,   6.547100,   9.931800,  11.440000,  14.037500,  19.796400
"(60, 61]",ctdpf_ckl_seawater_temperature,9889.000000,  12.144926,   2.968283,   6.565300,  10.016200,  11.480800,  14.031000,  19.797800
"(61, 62]",ctdpf_ckl_seawater_temperature,9978.000000,  12.202076,   2.946085,   6.576500,  10.089650,  11.543950,  14.095075,  19.810600
"(62, 63]",ctdpf_ckl_seawater_temperature,9991.000000,  12.234544,   2.916518,   6.579200,  10.165200,  11.594300,  14.113350,  19.815400
