array,platform,deploymentNumber,deployment,CTD_CruiseName,CTD_CruiseLeg,CTD_cast,CTD_Date,CTD_lat,CTD_lon,alfresco_location_primary,Quick_Look,Cruise_Report,CTD_cast_file,CTDlog,Chla,Nutrients,DIC_TA_pH
Coastal_Pioneer,CP01CNSM,5.0,D00005,Pioneer06,AR-04B,9.0,2016-05-22T15:38:52,40.13483333,-70.77333333,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-06_AR-04_2016-05-12/,3204-00602_Quick_Look_Cruise_Report_Coastal_Pioneer_6_2016-06-21_Ver_1-00.pdf,missing,Ship Data/Leg 2 (ar04b)/ctd/process/ar04b009.cnv,Ship Data/Water Sampling/CTD_sampling_log-AR-04B.xlsx,Ship Data/Water Sampling/Pioneer-6_AR-04B_chlorophyll_analysis.xlsx,Ship Data/Water Sampling/Pioneer-6_AR-04B_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,5.0,D00005,Pioneer06,AR-04C,8.0,2016-05-29T16:33:40,40.13666667,-70.77566667,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-06_AR-04_2016-05-12/,3204-00602_Quick_Look_Cruise_Report_Coastal_Pioneer_6_2016-06-21_Ver_1-00.pdf,missing,Ship Data/Leg 3 (ar04c)/ctd/process/ar04-c008.cnv,Ship Data/Water Sampling/CTD_sampling_log-AR-04C.xlsx,Ship Data/Water Sampling/Pioneer-6_AR-04C_chlorophyll_analysis.xlsx,Ship Data/Water Sampling/Pioneer-6_AR-04C_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,5.0,R00005,Pioneer07,AR-08A,7.0,2016-09-29T18:46:21,40.134,-70.77666667,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-07_AR-08_2016-09-27/,3204-00702_Quick_Look_Cruise_Report_Coastal Pioneer_7_Leg_1_2017-01-26_Ver_1-00.pdf,3204-00703_Cruise_Report_Coastal_Pioneer_7_Leg_1_2017-01-26_Ver_1-00.pdf,Ship Data/Leg 1 (ar08a)/ctd/process/ar08a007.cnv,Ship Data/Water Sampling/CTD_sampling_log_Pioneer_7_AR08A.xlsx,missing,missing,missing
Coastal_Pioneer,CP01CNSM,5.0,R00005,Pioneer07,AR-08B,7.0,2016-10-13T22:06:23,40.13616667,-70.77466667,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-07_AR-08_2016-09-27/,3204-00704_Quick_Look_Cruise_Report_Coastal_Pioneer_7_Leg_2_2017-01-26_Ver_1-00.pdf,3204-00703_Cruise_Report_Coastal_Pioneer_7_Leg_1_2017-01-26_Ver_1-00.pdf,Ship Data/Leg 2 (ar08b)/ctd/process/ar08b007.cnv,Ship Data/Water Sampling/CTD_sampling_log_Pioneer-7_AR08B.xlsx,missing,missing,missing
Coastal_Pioneer,CP01CNSM,6.0,D00006,Pioneer07,AR-08B,7.0,2016-10-13T22:06:23,40.13616667,-70.77466667,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-07_AR-08_2016-09-27/,3204-00704_Quick_Look_Cruise_Report_Coastal_Pioneer_7_Leg_2_2017-01-26_Ver_1-00.pdf,3204-00703_Cruise_Report_Coastal_Pioneer_7_Leg_1_2017-01-26_Ver_1-00.pdf,Ship Data/Leg 2 (ar08b)/ctd/process/ar08b007.cnv,Ship Data/Water Sampling/CTD_sampling_log_Pioneer-7_AR08B.xlsx,missing,missing,missing
Coastal_Pioneer,CP01CNSM,6.0,D00006,Pioneer07,AR-08B,12.0,2016-10-14T16:13:54,40.1275,-70.77633333,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-07_AR-08_2016-09-27/,3204-00704_Quick_Look_Cruise_Report_Coastal_Pioneer_7_Leg_2_2017-01-26_Ver_1-00.pdf,3204-00703_Cruise_Report_Coastal_Pioneer_7_Leg_1_2017-01-26_Ver_1-00.pdf,Ship Data/Leg 2 (ar08b)/ctd/process/ar08b012.cnv,Ship Data/Water Sampling/CTD_sampling_log_Pioneer-7_AR08B.xlsx,missing,missing,missing
Coastal_Pioneer,CP01CNSM,6.0,R00006,Pioneer08,AR-18B,5.0,2017-06-09T15:07:30,40.1365,-70.775,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-08_AR-18_2017-05-30/,3204-00803_Quick_Look_Cruise_Report_Coastal_Pioneer_8_Leg_2_2017-09-13_Ver_1-01.pdf,3204-00805_Cruise_Report_Coastal_Pioneer_8_2017-10-09_Ver_1-00.pdf,Ship Data/Leg 2 (ar18b)/ctd/process/ar18b005.cnv,Ship Data/Water Sampling/Pioneer_8_Leg_2_CTD_sampling_log.xlsx,missing,Ship Data/Water Sampling/Pioneer-8_Nutrient_analysis.xlsx,missing
Coastal_Pioneer,CP01CNSM,7.0,D00007,Pioneer08,AR-18B,5.0,2017-06-09T15:07:30,40.1365,-70.775,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-08_AR-18_2017-05-30/,3204-00803_Quick_Look_Cruise_Report_Coastal_Pioneer_8_Leg_2_2017-09-13_Ver_1-01.pdf,3204-00805_Cruise_Report_Coastal_Pioneer_8_2017-10-09_Ver_1-00.pdf,Ship Data/Leg 2 (ar18b)/ctd/process/ar18b005.cnv,Ship Data/Water Sampling/Pioneer_8_Leg_2_CTD_sampling_log.xlsx,missing,Ship Data/Water Sampling/Pioneer-8_Nutrient_analysis.xlsx,missing
Coastal_Pioneer,CP01CNSM,7.0,D00007,Pioneer08,AR-18B,9.0,2017-06-10T19:19:50,40.14016667,-70.77533333,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-08_AR-18_2017-05-30/,3204-00803_Quick_Look_Cruise_Report_Coastal_Pioneer_8_Leg_2_2017-09-13_Ver_1-01.pdf,3204-00805_Cruise_Report_Coastal_Pioneer_8_2017-10-09_Ver_1-00.pdf,Ship Data/Leg 2 (ar18b)/ctd/process/ar18b009.cnv,Ship Data/Water Sampling/Pioneer_8_Leg_2_CTD_sampling_log.xlsx,missing,Ship Data/Water Sampling/Pioneer-8_Nutrient_analysis.xlsx,missing
Coastal_Pioneer,CP01CNSM,7.0,D00007,Pioneer08,AR-18C,8.0,2017-06-18T16:58:24,40.1365,-70.77383333,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-08_AR-18_2017-05-30/,3204-00804_Quick_Look_Cruise_Report_Coastal_Pioneer_8_Leg_3_2017-09-13_Ver_1-01.pdf,3204-00805_Cruise_Report_Coastal_Pioneer_8_2017-10-09_Ver_1-00.pdf,Ship Data/Leg 3 (ar18c)/ctd/process/ar18c008.cnv,Ship Data/Water Sampling/Pioneer_8_Leg_3_CTD_sampling_log.xlsx,missing,Ship Data/Water Sampling/Pioneer-8_Nutrient_analysis.xlsx,missing
