deployment,file_downloaded,method,stream,variable,units,fill_value,n_all,n_outliers,n_nans,n_fillvalues,n_stats,mean,min,max,stdev,filename
deployment0004,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_temperature,ºC,-9999999.0,20,0,0,0,20,8.2315,7.6107,9.4093,0.5025,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20160701T040001-20160710T120001.nc
deployment0004,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_pressure,dbar,-9999.0,20,0,0,0,20,43.6016,42.2222,44.656,0.8073,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20160701T040001-20160710T120001.nc
deployment0004,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,density,kg m-3,-9999999.0,20,0,0,0,20,1025.6467,1025.4357,1025.7512,0.088,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20160701T040001-20160710T120001.nc
deployment0004,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,36728,6,0,0,36722,32.675,31.4723,33.531,0.1029,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20160701T011501-20170718T150001.nc
deployment0004,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,36728,2,0,0,36726,3.3718,3.1846,4.0072,0.138,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20160701T011501-20170718T150001.nc
deployment0004,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,36728,0,0,0,36728,7.6029,5.4763,14.8641,1.6122,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20160701T011501-20170718T150001.nc
deployment0004,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,36728,21,0,0,36707,41.9049,38.128,47.7296,1.0874,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20160701T011501-20170718T150001.nc
deployment0004,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,36728,8,0,0,36720,1025.6875,1024.0182,1026.5413,0.2888,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20160701T011501-20170718T150001.nc
deployment0004,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,practical_salinity,1,-9999999.0,36652,5,0,0,36647,32.6752,31.4723,33.8857,0.1031,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20160701T011501-20170717T200001.nc
deployment0004,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_conductivity,S m-1,-9999999.0,36652,2,0,0,36650,3.3717,3.1846,4.0072,0.1381,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20160701T011501-20170717T200001.nc
deployment0004,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,ctdmo_seawater_temperature,ºC,-9999999.0,36652,0,0,0,36652,7.6016,5.4763,14.8641,1.6131,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20160701T011501-20170717T200001.nc
