dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(76, 77]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65160.000000, 199.036149,  37.376570, 114.418479, 172.400203, 191.286666, 224.809045, 305.377555
"(77, 78]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65189.000000, 198.081426,  37.367885, 114.423617, 171.275025, 190.310031, 223.971562, 305.184692
"(78, 79]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",64864.000000, 197.158416,  37.314368, 114.141831, 170.454796, 189.115425, 222.949683, 304.970788
"(79, 80]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65269.000000, 196.275715,  37.275062, 113.798464, 169.563843, 188.277917, 221.977690, 303.787671
"(80, 81]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65526.000000, 195.559232,  37.281142, 113.240142, 168.845927, 187.123919, 221.431384, 303.054650
"(81, 82]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",64799.000000, 194.583248,  37.346022, 113.247039, 167.996020, 185.658708, 220.271314, 302.408832
"(82, 83]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65857.000000, 194.081209,  37.327003, 112.962607, 167.351517, 185.183713, 220.105662, 301.902991
"(83, 84]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65467.000000, 192.880557,  37.264984, 112.950270, 166.537958, 183.448253, 218.569192, 300.833980
"(84, 85]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",66420.000000, 192.037149,  37.115234, 112.688809, 165.746499, 182.265463, 217.515459, 299.232531
"(85, 86]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",68212.000000, 190.657259,  36.502319, 112.629167, 165.237747, 181.271543, 215.223838, 298.270714
"(86, 87]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",72583.000000, 188.665109,  36.068059, 112.735283, 164.180313, 178.423940, 211.945491, 297.274568
"(87, 88]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",80210.000000, 186.186814,  34.934938, 113.110399, 163.484008, 176.526942, 205.000334, 296.401467
"(88, 89]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",88802.000000, 183.930134,  33.682779, 113.671006, 162.450246, 174.433780, 200.398220, 296.253401
"(89, 90]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",99084.000000, 181.065571,  32.787874, 113.528694, 161.068868, 172.603595, 194.530670, 296.174601
"(90, 91]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",102551.000000, 180.050521,  32.917845, 103.307391, 158.802929, 171.971880, 194.381698, 295.731908
"(91, 92]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",104489.000000, 179.997023,  32.717948, 113.881996, 159.029311, 172.605036, 195.182341, 295.293409
"(92, 93]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",100346.000000, 180.358272,  34.609720, 112.712103, 157.148111, 172.814152, 198.923686, 294.749953
"(93, 94]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",100418.000000, 180.366590,  35.553690, 113.381735, 156.088106, 172.620215, 201.686888, 294.306605
"(94, 95]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",98331.000000, 182.077846,  34.294358, 113.160097, 157.485803, 173.237918, 203.860936, 293.616642
"(95, 96]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",98301.000000, 180.215779,  35.169783, 112.117207, 155.398363, 170.816274, 204.321039, 292.872595
"(96, 97]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",98372.000000, 180.925116,  34.939033, 110.797850, 155.903776, 171.591368, 207.074230, 291.815995
"(97, 98]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",101716.000000, 181.139552,  33.850847, 111.462309, 156.858023, 172.974279, 203.146914, 290.143752
"(98, 99]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",116393.000000, 180.440832,  34.353783, 108.964689, 156.465773, 171.650967, 202.248727, 291.985099
"(99, 100]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",376211.000000, 172.134998,  30.483485, 103.897041, 153.038140, 164.730150, 186.367117, 286.213926
"(100, 101]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",928174.000000, 178.966486,  33.157141, 110.695336, 154.253680, 170.538314, 202.054377, 287.556679
"(101, 102]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",454737.000000, 194.574972,  40.789550, 115.112919, 159.472490, 189.111592, 222.396443, 292.474346
"(102, 103]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",57070.000000, 226.549222,  47.743824, 135.450029, 198.539806, 221.944041, 277.032387, 291.140974
"(103, 104]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",17707.000000, 219.264370,  33.786405, 143.895553, 201.205868, 212.998663, 227.293177, 289.562623
"(104, 105]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",11581.000000, 211.096050,  28.999691, 143.764990, 204.359580, 211.619419, 221.219678, 284.755384
"(105, 106]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",10230.000000, 207.315393,  22.264846, 170.883878, 189.473083, 207.394903, 219.136864, 272.375597
"(106, 107]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",31539.000000, 195.458696,  19.933555, 140.037481, 178.743526, 192.054352, 215.384386, 230.998463
