,parameter,deployments,count,mean,std,min,25%,50%,75%,max
26,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",236935.000000,1027.910919,   0.092828,1027.264790,1027.863486,1027.921892,1027.977342,1028.130290
27,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",236891.000000,1027.973229,   0.088855,1027.244971,1027.926554,1027.982223,1028.037608,1028.170753
28,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",236763.000000,1028.034750,   0.085485,1027.406281,1027.988695,1028.042101,1028.097377,1028.228385
29,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",236502.000000,1028.095583,   0.082614,1027.380203,1028.050265,1028.101808,1028.156321,1028.288627
30,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",235997.000000,1028.156032,   0.079953,1027.595114,1028.111912,1028.161417,1028.214973,1028.347549
31,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",236011.000000,1028.215979,   0.077465,1027.108376,1028.172644,1028.220423,1028.273129,1028.399358
32,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",235631.000000,1028.275550,   0.075325,1027.759188,1028.232737,1028.279234,1028.331454,1028.457470
33,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",235694.000000,1028.334806,   0.073591,1027.838523,1028.292903,1028.337476,1028.389305,1028.511967
34,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",235453.000000,1028.394136,   0.071971,1027.894742,1028.352862,1028.395988,1028.447323,1028.573834
35,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",235218.000000,1028.452965,   0.070627,1027.950037,1028.411982,1028.454331,1028.504795,1028.637572
36,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",234733.000000,1028.511970,   0.068864,1027.994658,1028.471870,1028.512832,1028.561910,1028.694216
37,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",234918.000000,1028.570432,   0.067469,1028.067261,1028.530655,1028.570952,1028.618755,1028.756896
38,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",234590.000000,1028.629111,   0.066210,1028.119755,1028.589797,1028.629522,1028.675921,1028.807249
39,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",234428.000000,1028.687778,   0.064930,1028.174842,1028.648687,1028.687688,1028.733320,1028.864485
40,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",233410.000000,1028.746756,   0.063828,1028.232186,1028.708157,1028.746429,1028.791260,1028.919004
41,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",233228.000000,1028.805187,   0.063156,1028.277652,1028.766898,1028.804794,1028.848829,1028.988070
42,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",233063.000000,1028.863802,   0.062557,1028.337397,1028.825504,1028.863592,1028.906491,1029.052852
43,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",232754.000000,1028.922112,   0.062205,1028.409486,1028.883846,1028.922000,1028.964064,1029.101033
44,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",232314.000000,1028.980159,   0.061592,1028.402470,1028.941950,1028.980039,1029.021578,1029.154965
45,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",232380.000000,1029.037856,   0.061339,1028.515349,1028.999677,1029.037626,1029.079006,1029.212057
46,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",233661.000000,1029.095436,   0.061170,1028.571311,1029.057317,1029.095134,1029.136375,1029.276172
47,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",239418.000000,1029.153456,   0.062406,1028.640060,1029.114364,1029.153039,1029.194439,1029.327205
48,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",247862.000000,1029.210025,   0.062400,1028.688202,1029.170130,1029.209876,1029.251544,1029.392991
49,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",616518.000000,1029.274700,   0.061936,1028.763425,1029.234137,1029.276358,1029.318376,1029.434395
50,density,"1, 2, 3, 4, 5, 6, 7, 8, 9",405884.000000,1029.300402,   0.057956,1028.813389,1029.267304,1029.301026,1029.336227,1029.457211
51,density,"1, 2, 3, 4, 5, 6, 7, 8, 9", 825.000000,1029.299913,   0.011315,1029.268910,1029.302776,1029.304919,1029.305813,1029.310554
52,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",   0.000000,,,,,,,
53,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",71666.000000,  32.301751,   0.168197,  31.146157,  32.198359,  32.334416,  32.414259,  32.727538
54,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",769569.000000,  32.426906,   0.187017,  31.205032,  32.314172,  32.417067,  32.548071,  33.303457
55,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",300556.000000,  32.545691,   0.221901,  31.111045,  32.399695,  32.523046,  32.674921,  33.455331
56,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",269737.000000,  32.733104,   0.276145,  31.856683,  32.506940,  32.705845,  32.919386,  33.719632
57,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",247006.000000,  32.915104,   0.322232,  32.012711,  32.668520,  32.905636,  33.165700,  33.775818
58,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",236008.000000,  33.106198,   0.339515,  32.108465,  32.869195,  33.126937,  33.388258,  33.840330
59,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",233180.000000,  33.277765,   0.324423,  32.306742,  33.073048,  33.317191,  33.543235,  33.903709
60,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",231928.000000,  33.419885,   0.290895,  31.871968,  33.244154,  33.463323,  33.656024,  33.923299
61,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",230047.000000,  33.533229,   0.251490,  32.355795,  33.378501,  33.574599,  33.738678,  33.949614
62,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",229475.000000,  33.620600,   0.216435,  32.476510,  33.485398,  33.658876,  33.796665,  33.970509
63,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",229196.000000,  33.687551,   0.188055,  32.648264,  33.570181,  33.728979,  33.839924,  33.977447
64,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",228450.000000,  33.739547,   0.164889,  32.747945,  33.637465,  33.780452,  33.872472,  33.989176
65,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",228159.000000,  33.780856,   0.145755,  32.954568,  33.689754,  33.819304,  33.896388,  33.998991
66,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",227788.000000,  33.813801,   0.129567,  33.085378,  33.737638,  33.848060,  33.914414,  33.999602
67,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",227962.000000,  33.841124,   0.115375,  33.211651,  33.777026,  33.871584,  33.928800,  34.011093
