,parameter,deployments,count,mean,std,min,25%,50%,75%,max
23,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39452.000000,   2.130536,   0.167276,   1.597200,   2.032500,   2.172000,   2.262500,   2.986500
24,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39275.000000,   2.142740,   0.168867,   1.597200,   2.032500,   2.172000,   2.262500,   2.896000
25,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39526.000000,   2.154885,   0.171502,   1.597200,   2.032500,   2.179200,   2.270000,   2.896000
26,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38955.000000,   2.166491,   0.173229,   1.669800,   2.081500,   2.179200,   2.276400,   2.896000
27,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39455.000000,   2.175686,   0.173976,   1.669800,   2.081500,   2.195100,   2.276400,   2.896000
28,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39659.000000,   2.189236,   0.176727,   1.669800,   2.088400,   2.195100,   2.326800,   2.805500
29,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39311.000000,   2.204272,   0.177570,   1.669800,   2.113800,   2.243700,   2.326800,   2.805500
30,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38894.000000,   2.217370,   0.175673,   1.669800,   2.113800,   2.262500,   2.353000,   2.805500
31,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38704.000000,   2.226221,   0.176353,   1.669800,   2.113800,   2.262500,   2.353000,   2.986500
32,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38993.000000,   2.238498,   0.179229,   0.000000,   2.172000,   2.270000,   2.357700,   2.896000
33,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39125.000000,   2.246468,   0.181039,   1.669800,   2.172000,   2.270000,   2.360800,   3.529500
34,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39121.000000,   2.256833,   0.183170,   1.669800,   2.172000,   2.276400,   2.360800,   3.077000
35,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39073.000000,   2.267460,   0.183085,   1.669800,   2.179200,   2.276400,   2.409900,   2.896000
36,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38254.000000,   2.279744,   0.182561,   1.669800,   2.195100,   2.326800,   2.409900,   2.805500
37,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38621.000000,   2.289252,   0.184030,   1.742400,   2.195100,   2.326800,   2.409900,   2.805500
38,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38449.000000,   2.296279,   0.184811,   1.742400,   2.195100,   2.353000,   2.439000,   2.805500
39,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38798.000000,   2.307182,   0.186509,   1.742400,   2.243700,   2.353000,   2.443500,   2.896000
40,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38697.000000,   2.319639,   0.185786,   1.742400,   2.262500,   2.357700,   2.443500,   2.986500
41,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38036.000000,   2.324328,   0.186247,   1.742400,   2.262500,   2.357700,   2.443500,   2.896000
42,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",37549.000000,   2.330922,   0.186416,   1.742400,   2.262500,   2.357700,   2.451600,   2.896000
43,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38002.000000,   2.343435,   0.188761,   1.742400,   2.270000,   2.360800,   2.451600,   2.986500
44,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38205.000000,   2.353838,   0.189986,   1.742400,   2.276400,   2.409900,   2.493000,   3.620000
45,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38076.000000,   2.361460,   0.189625,   1.742400,   2.276400,   2.409900,   2.493000,   2.896000
46,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",37422.000000,   2.366704,   0.190177,   1.742400,   2.276400,   2.409900,   2.493000,   2.986500
47,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",37353.000000,   2.374896,   0.192095,   1.742400,   2.276400,   2.439000,   2.520300,   2.896000
48,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",36537.000000,   2.383837,   0.197596,   1.742400,   2.326800,   2.439000,   2.520300,   2.986500
49,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",35298.000000,   2.381367,   0.209176,   1.597200,   2.276400,   2.443500,   2.534000,   2.986500
50,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",3431.000000,   2.394716,   0.207188,   1.742400,   2.326800,   2.443500,   2.534000,   2.986500
51,CDOM Concentration,"1, 2, 3, 4, 5, 6, 7, 8",  54.000000,   2.506850,   0.092381,   2.326800,   2.430675,   2.493000,   2.576100,   2.659200
52,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",   0.000000,,,,,,,
53,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",2479.000000,   0.803299,   0.394538,   0.000000,   0.571200,   0.750200,   0.992200,   2.737000
54,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",30551.000000,   0.710521,   0.308294,   0.000000,   0.496100,   0.677600,   0.880600,   2.748900
55,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40793.000000,   0.569148,   0.278754,   0.000000,   0.350900,   0.525000,   0.726000,   2.153900
56,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40521.000000,   0.397285,   0.228182,   0.000000,   0.217800,   0.338800,   0.531000,   1.630300
57,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40537.000000,   0.263376,   0.172112,   0.000000,   0.137500,   0.212500,   0.338800,   1.040600
58,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40645.000000,   0.171748,   0.122844,   0.000000,   0.087500,   0.133100,   0.205700,   0.883300
59,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40799.000000,   0.113747,   0.080791,   0.000000,   0.060500,   0.087500,   0.133100,   0.689700
60,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40353.000000,   0.080434,   0.049366,   0.000000,   0.048400,   0.071400,   0.096800,   0.496100
61,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40567.000000,   0.062027,   0.030550,   0.000000,   0.037500,   0.060500,   0.072600,   0.290400
62,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40397.000000,   0.053745,   0.022731,   0.000000,   0.037500,   0.050000,   0.070800,   0.169400
63,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40739.000000,   0.049800,   0.020011,   0.000000,   0.036300,   0.048400,   0.060500,   0.137500
64,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40655.000000,   0.048372,   0.018754,   0.000000,   0.036300,   0.048400,   0.060500,   0.112500
65,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40874.000000,   0.047858,   0.018443,   0.000000,   0.036300,   0.048400,   0.060500,   0.137500
66,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40974.000000,   0.047952,   0.018155,   0.000000,   0.036300,   0.048400,   0.060500,   0.137500
67,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40961.000000,   0.048027,   0.017906,   0.000000,   0.036300,   0.048400,   0.060500,   0.100000
68,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40997.000000,   0.048335,   0.017815,   0.000000,   0.036300,   0.048400,   0.060500,   0.137500
69,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",41027.000000,   0.048800,   0.017805,   0.000000,   0.036300,   0.048400,   0.060500,   0.125000
70,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40917.000000,   0.049056,   0.017703,   0.000000,   0.036300,   0.048400,   0.060500,   0.112500
71,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40646.000000,   0.049589,   0.017446,   0.000000,   0.036300,   0.048400,   0.060500,   0.112500
72,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39996.000000,   0.050056,   0.017358,   0.000000,   0.037500,   0.048400,   0.060500,   0.137500
73,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",40009.000000,   0.050672,   0.017160,   0.000000,   0.037500,   0.048400,   0.060500,   0.112500
74,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39685.000000,   0.051280,   0.016779,   0.000000,   0.037500,   0.048400,   0.060500,   0.137500
75,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39572.000000,   0.051646,   0.016839,   0.000000,   0.037500,   0.050000,   0.060500,   0.137500
76,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39500.000000,   0.051949,   0.016591,   0.000000,   0.037500,   0.050000,   0.060500,   0.112500
77,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39512.000000,   0.052434,   0.016525,   0.000000,   0.037500,   0.050000,   0.060500,   0.125000
78,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39003.000000,   0.052972,   0.016377,   0.000000,   0.037500,   0.050000,   0.060500,   0.112500
79,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38977.000000,   0.053134,   0.016412,   0.000000,   0.037500,   0.050000,   0.062500,   0.137500
80,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39620.000000,   0.053384,   0.016340,   0.000000,   0.037500,   0.050000,   0.062500,   0.100000
81,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39436.000000,   0.053733,   0.016224,   0.000000,   0.037500,   0.050000,   0.062500,   0.125000
82,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39432.000000,   0.053923,   0.016379,   0.000000,   0.037500,   0.050000,   0.062500,   0.137500
83,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39427.000000,   0.054269,   0.016342,   0.000000,   0.037500,   0.050000,   0.062500,   0.125000
84,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39325.000000,   0.054560,   0.016270,   0.000000,   0.047600,   0.059000,   0.062500,   0.112500
85,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39456.000000,   0.054827,   0.016261,   0.000000,   0.047600,   0.059500,   0.062500,   0.125000
86,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",39325.000000,   0.055116,   0.016276,   0.000000,   0.047600,   0.059500,   0.062500,   0.112500
87,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38923.000000,   0.055923,   0.015617,   0.000000,   0.047600,   0.059500,   0.070800,   0.112500
88,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38824.000000,   0.056087,   0.015678,   0.000000,   0.047600,   0.059500,   0.070800,   0.137500
89,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38483.000000,   0.056470,   0.015722,   0.000000,   0.047600,   0.059500,   0.071400,   0.125000
90,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38229.000000,   0.056704,   0.015683,   0.000000,   0.047600,   0.059500,   0.071400,   0.112500
91,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38279.000000,   0.057000,   0.015733,   0.000000,   0.047600,   0.059500,   0.071400,   0.125000
92,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38043.000000,   0.057090,   0.015547,   0.000000,   0.048400,   0.059500,   0.071400,   0.112500
93,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38045.000000,   0.057283,   0.015681,   0.000000,   0.048400,   0.059500,   0.071400,   0.112500
94,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38361.000000,   0.057872,   0.015982,   0.000000,   0.048400,   0.060500,   0.071400,   0.125000
95,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38793.000000,   0.058321,   0.015960,   0.000000,   0.048400,   0.060500,   0.072600,   0.112500
96,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38708.000000,   0.058482,   0.016002,   0.000000,   0.048400,   0.060500,   0.072600,   0.112500
97,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38332.000000,   0.058631,   0.016161,   0.000000,   0.048400,   0.060500,   0.072600,   0.125000
98,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38545.000000,   0.058854,   0.016167,   0.000000,   0.048400,   0.060500,   0.072600,   0.112500
99,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",38061.000000,   0.058973,   0.016211,   0.000000,   0.048400,   0.060500,   0.072600,   0.112500
100,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",36768.000000,   0.058890,   0.016136,   0.000000,   0.048400,   0.060500,   0.072600,   0.137500
101,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",35391.000000,   0.059131,   0.016177,   0.000000,   0.048400,   0.060500,   0.072600,   0.125000
102,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",3457.000000,   0.059465,   0.015440,   0.000000,   0.048400,   0.059500,   0.071400,   0.106200
103,Chlorophyll-a Concentration,"1, 2, 3, 4, 5, 6, 7, 8",  54.000000,   0.057296,   0.009828,   0.035700,   0.047600,   0.059500,   0.059500,   0.071400
104,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",   0.000000,,,,,,,
105,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",2706.000000,   0.001814,   0.000798,   0.000640,   0.001293,   0.001620,   0.002071,   0.005627
106,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",30680.000000,   0.001633,   0.000660,   0.000786,   0.001181,   0.001489,   0.001912,   0.012086
107,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",41220.000000,   0.001479,   0.000691,   0.000731,   0.001052,   0.001331,   0.001737,   0.045701
108,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",40805.000000,   0.001355,   0.000598,   0.000666,   0.000946,   0.001204,   0.001577,   0.016178
109,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",40309.000000,   0.001308,   0.000713,   0.000624,   0.000899,   0.001134,   0.001493,   0.053950
110,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",39823.000000,   0.001322,   0.000719,   0.000602,   0.000881,   0.001122,   0.001488,   0.015621
111,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",39426.000000,   0.001361,   0.000828,   0.000602,   0.000898,   0.001137,   0.001493,   0.038910
112,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",39261.000000,   0.001399,   0.000843,   0.000602,   0.000899,   0.001158,   0.001546,   0.036124
113,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",39022.000000,   0.001452,   0.000859,   0.000624,   0.000921,   0.001183,   0.001636,   0.037388
114,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",38927.000000,   0.001521,   0.000923,   0.000624,   0.000943,   0.001226,   0.001759,   0.044244
115,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",38842.000000,   0.001577,   0.000903,   0.000645,   0.000966,   0.001276,   0.001860,   0.044651
116,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",38797.000000,   0.001638,   0.000883,   0.000645,   0.000993,   0.001337,   0.001982,   0.015621
117,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",38788.000000,   0.001702,   0.000885,   0.000666,   0.001032,   0.001401,   0.002123,   0.012086
118,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",38681.000000,   0.001744,   0.000898,   0.000666,   0.001064,   0.001459,   0.002217,   0.025562
119,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",38656.000000,   0.001754,   0.000893,   0.000688,   0.001070,   0.001487,   0.002239,   0.031796
120,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",38631.000000,   0.001761,   0.000889,   0.000688,   0.001065,   0.001470,   0.002262,   0.026654
121,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",38579.000000,   0.001737,   0.000858,   0.000688,   0.001052,   0.001459,   0.002217,   0.014721
122,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",38439.000000,   0.001692,   0.000844,   0.000688,   0.001040,   0.001438,   0.002146,   0.039124
123,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",38195.000000,   0.001635,   0.000793,   0.000688,   0.001030,   0.001390,   0.002059,   0.023569
124,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37906.000000,   0.001574,   0.000742,   0.000688,   0.001009,   0.001336,   0.001959,   0.020570
125,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",38023.000000,   0.001512,   0.000734,   0.000666,   0.000988,   0.001299,   0.001848,   0.042509
126,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37821.000000,   0.001454,   0.000652,   0.000666,   0.000966,   0.001270,   0.001770,   0.025669
127,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37765.000000,   0.001409,   0.000603,   0.000666,   0.000959,   0.001245,   0.001707,   0.016563
128,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37578.000000,   0.001367,   0.000565,   0.000666,   0.000945,   0.001205,   0.001642,   0.021705
129,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37530.000000,   0.001341,   0.000522,   0.000666,   0.000945,   0.001188,   0.001619,   0.008272
130,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37539.000000,   0.001315,   0.000537,   0.000666,   0.000942,   0.001181,   0.001581,   0.033425
131,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37433.000000,   0.001292,   0.000516,   0.000666,   0.000942,   0.001161,   0.001545,   0.027297
132,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37414.000000,   0.001282,   0.000511,   0.000645,   0.000942,   0.001161,   0.001533,   0.030147
133,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37337.000000,   0.001274,   0.000484,   0.000645,   0.000942,   0.001180,   0.001514,   0.028625
134,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37242.000000,   0.001267,   0.000485,   0.000645,   0.000945,   0.001180,   0.001502,   0.036081
135,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37214.000000,   0.001261,   0.000456,   0.000645,   0.000946,   0.001180,   0.001489,   0.032825
136,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37203.000000,   0.001263,   0.000556,   0.000645,   0.000959,   0.001181,   0.001489,   0.042059
137,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37218.000000,   0.001266,   0.000481,   0.000645,   0.000964,   0.001181,   0.001489,   0.031346
138,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37081.000000,   0.001271,   0.000643,   0.000645,   0.000966,   0.001183,   0.001489,   0.048829
139,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37059.000000,   0.001275,   0.000519,   0.000666,   0.000969,   0.001188,   0.001492,   0.047715
140,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",36978.000000,   0.001276,   0.000506,   0.000666,   0.000969,   0.001202,   0.001501,   0.035374
141,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",37015.000000,   0.001281,   0.000469,   0.000688,   0.000981,   0.001202,   0.001511,   0.032225
142,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",36880.000000,   0.001289,   0.000530,   0.000688,   0.000986,   0.001203,   0.001511,   0.051828
143,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",36805.000000,   0.001299,   0.000512,   0.000688,   0.000987,   0.001205,   0.001524,   0.041245
144,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",36724.000000,   0.001310,   0.000506,   0.000719,   0.000993,   0.001225,   0.001537,   0.027190
145,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",36686.000000,   0.001326,   0.000517,   0.000719,   0.001003,   0.001245,   0.001559,   0.041973
146,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",36637.000000,   0.001346,   0.000503,   0.000719,   0.001019,   0.001266,   0.001581,   0.034281
147,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",36541.000000,   0.001373,   0.000522,   0.000741,   0.001040,   0.001287,   0.001613,   0.033189
148,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",36538.000000,   0.001402,   0.000442,   0.000741,   0.001064,   0.001322,   0.001658,   0.006151
149,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",36385.000000,   0.001452,   0.000521,   0.000741,   0.001110,   0.001373,   0.001714,   0.045787
150,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",36231.000000,   0.001511,   0.000481,   0.000741,   0.001159,   0.001437,   0.001793,   0.014571
151,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",35718.000000,   0.001582,   0.000581,   0.000763,   0.001223,   0.001511,   0.001860,   0.046151
152,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",34612.000000,   0.001666,   0.000548,   0.000786,   0.001292,   0.001598,   0.001958,   0.036402
153,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",33283.000000,   0.001771,   0.000566,   0.000838,   0.001373,   0.001692,   0.002076,   0.024083
154,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",3167.000000,   0.001874,   0.000552,   0.000897,   0.001479,   0.001795,   0.002193,   0.006965
155,Optical Backscatter,"1, 2, 3, 4, 5, 6, 7, 8",  53.000000,   0.001876,   0.000432,   0.001445,   0.001598,   0.001685,   0.001991,   0.003194
156,Total Scattering Coefficient of Pure Seawater,"1, 2, 3, 4, 5, 6, 7, 8",   0.000000,,,,,,,
157,Total Scattering Coefficient of Pure Seawater,"1, 2, 3, 4, 5, 6, 7, 8",2728.000000,   0.000627,   0.000002,   0.000619,   0.000626,   0.000628,   0.000629,   0.000631
158,Total Scattering Coefficient of Pure Seawater,"1, 2, 3, 4, 5, 6, 7, 8",30174.000000,   0.000628,   0.000002,   0.000622,   0.000627,   0.000628,   0.000629,   0.000634
159,Total Scattering Coefficient of Pure Seawater,"1, 2, 3, 4, 5, 6, 7, 8",40745.000000,   0.000629,   0.000002,   0.000625,   0.000628,   0.000629,   0.000631,   0.000635
160,Total Scattering Coefficient of Pure Seawater,"1, 2, 3, 4, 5, 6, 7, 8",40193.000000,   0.000630,   0.000002,   0.000625,   0.000629,   0.000630,   0.000632,   0.000637
161,Total Scattering Coefficient of Pure Seawater,"1, 2, 3, 4, 5, 6, 7, 8",39772.000000,   0.000632,   0.000003,   0.000626,   0.000630,   0.000632,   0.000634,   0.000638
162,Total Scattering Coefficient of Pure Seawater,"1, 2, 3, 4, 5, 6, 7, 8",39254.000000,   0.000633,   0.000003,   0.000626,   0.000631,   0.000634,   0.000635,   0.000638
163,Total Scattering Coefficient of Pure Seawater,"1, 2, 3, 4, 5, 6, 7, 8",38870.000000,   0.000634,   0.000002,   0.000627,   0.000633,   0.000635,   0.000636,   0.000639
164,Total Scattering Coefficient of Pure Seawater,"1, 2, 3, 4, 5, 6, 7, 8",38723.000000,   0.000635,   0.000002,   0.000628,   0.000634,   0.000636,   0.000637,   0.000639
